Index,HF,AST,HTAG,AwayTeam,AR,HC,HTHG,AS,HS,HY,WHD,HST,AF,FTAG,AY,WHH,HTR,IWA,IWD,AC,FTR,IWH,HomeTeam,WHA,FTHG,Referee,Div,HR,Date,SeasonDate
34,18,8,1,Charlton,0,6,0,12,10,2,3.2,6,15,3,1,1.83,A,3.2,3.1,1,A,2,Middlesbrough,3.75,0,M Dean,E0,0,28/08/05,2005
35,26,5,0,Man United,0,5,0,11,9,1,3.3,4,16,2,2,5.5,D,1.7,3.2,3,A,4.2,Newcastle,1.57,0,H Webb,E0,0,28/08/05,2005
36,9,4,1,Charlton,0,13,0,8,18,0,3.2,5,10,1,2,2.25,A,2.7,3,4,A,2.3,Birmingham,2.75,0,M Halsey,E0,0,10/09/05,2005
37,14,2,0,Sunderland,0,4,0,2,9,1,6.5,6,10,0,0,1.1,D,11,5.5,2,H,1.17,Chelsea,17,2,M Dean,E0,0,10/09/05,2005
38,10,8,0,Portsmouth,0,11,0,12,11,2,3.3,6,12,1,1,1.57,D,4.4,3.3,6,A,1.65,Everton,5.5,0,M Atkinson,E0,0,10/09/05,2005
39,12,3,0,Man City,0,3,1,5,7,1,3.5,2,18,1,4,1.4,H,6,3.9,5,D,1.4,Man United,8,1,S Bennett,E0,0,10/09/05,2005
40,17,8,0,Arsenal,0,6,1,13,6,3,3.3,5,16,1,4,5,H,1.75,3.2,7,H,4,Middlesbrough,1.61,2,M Riley,E0,0,10/09/05,2005
41,19,8,1,Fulham,0,10,0,13,15,4,3.3,10,16,1,1,1.66,A,4.2,3.2,8,D,1.7,Newcastle,4.5,1,A Wiley,E0,1,10/09/05,2005
42,16,6,0,Liverpool,0,4,0,11,10,1,3.1,7,13,0,1,2.4,D,2.7,3,4,D,2.3,Tottenham,2.6,0,H Webb,E0,0,10/09/05,2005
43,19,4,1,Wigan,0,5,1,9,10,3,3.1,5,15,2,1,1.95,D,2.9,3,0,A,2.2,West Brom,3.5,1,M Clattenburg,E0,0,10/09/05,2005
44,18,3,0,Blackburn,0,4,0,7,12,1,3.1,6,17,0,2,1.9,D,3.8,3.1,4,D,1.8,Bolton,3.6,0,G Poll,E0,0,11/09/05,2005
45,15,8,0,Aston Villa,0,4,2,14,14,0,2.9,9,12,0,1,2.5,H,2.7,3,11,H,2.3,West Ham,2.62,4,R Styles,E0,0,12/09/05,2005
46,14,7,0,Tottenham,0,4,1,13,13,1,3.2,6,14,1,2,2.62,H,2.6,3,3,D,2.4,Aston Villa,2.3,1,S Bennett,E0,0,17/09/05,2005
47,11,11,0,Chelsea,0,2,0,16,11,0,3.6,4,10,2,2,6.5,D,1.6,3.4,7,A,4.6,Charlton,1.44,0,H Webb,E0,0,17/09/05,2005
48,11,3,0,West Ham,0,4,0,10,9,2,3.2,6,14,2,1,2.1,D,3.1,3,6,A,2.1,Fulham,3,1,G Poll,E0,0,17/09/05,2005
49,16,2,1,Birmingham,1,7,1,3,14,2,3.2,9,14,1,0,2.25,D,2.7,3,3,D,2.3,Portsmouth,2.75,1,D Gallagher,E0,0,17/09/05,2005
50,19,6,0,West Brom,0,1,1,13,11,0,3.1,6,11,1,3,2.37,H,2.7,3,9,D,2.3,Sunderland,2.62,1,R Beeby,E0,0,17/09/05,2005
51,14,3,0,Newcastle,1,7,0,4,17,1,3.2,10,19,3,5,2.25,D,2.7,3,2,A,2.3,Blackburn,2.75,0,M Riley,E0,0,18/09/05,2005
52,24,1,0,Man United,0,4,0,4,9,2,3.2,3,15,0,2,2.75,D,2.5,3,2,D,2.5,Liverpool,2.25,0,R Styles,E0,0,18/09/05,2005
53,14,1,0,Bolton,0,7,0,5,17,1,3.2,8,16,1,1,1.9,D,3.2,3.1,5,A,2,Man City,3.5,0,M Dean,E0,0,18/09/05,2005
54,11,3,1,Middlesbrough,0,4,0,10,11,0,3.1,4,16,1,1,2.62,A,2.5,3,5,D,2.5,Wigan,2.37,1,U Rennie,E0,0,18/09/05,2005
55,13,2,0,Everton,0,4,2,4,11,2,4,4,19,0,3,1.33,H,6,3.9,0,H,1.4,Arsenal,8,2,A Wiley,E0,0,19/09/05,2005
56,14,6,0,Liverpool,0,3,0,14,4,2,3,4,14,2,3,3.2,D,2.2,3,7,D,2.9,Birmingham,2.1,2,S Bennett,E0,1,24/09/05,2005
