Index,HF,AST,HTAG,AwayTeam,AR,HC,HTHG,AS,HS,HY,WHD,HST,AF,FTAG,AY,WHH,HTR,IWA,IWD,AC,FTR,IWH,HomeTeam,WHA,FTHG,Referee,Div,HR,Date,SeasonDate
701,11,8,0,Blackburn,0,1,0,16,6,2,3.3,3,10,0,1,3.1,D,2.3,3.2,9,D,3,Portsmouth,2.3,0,S Bennett,E0,1,03/04/10,2009
702,12,3,0,Hull,0,3,1,5,9,3,3.4,3,12,0,2,1.8,H,4.3,3.4,2,H,1.8,Stoke,4.6,2,L Probert,E0,0,03/04/10,2009
703,16,9,0,Tottenham,0,6,2,12,11,2,3.3,10,15,1,0,3.5,H,2.2,3.2,6,H,3.2,Sunderland,2.1,3,L Mason,E0,0,03/04/10,2009
704,14,8,0,Liverpool,0,5,0,16,8,2,3.5,3,9,1,1,4.8,D,1.8,3.4,4,D,4.3,Birmingham,1.75,1,M Atkinson,E0,0,04/04/10,2009
705,7,5,0,West Ham,0,2,1,10,10,2,4.33,5,17,2,3,1.4,H,7,4,8,D,1.45,Everton,8.5,2,H Webb,E0,0,04/04/10,2009
706,11,7,1,Wigan,0,6,0,12,7,1,3.3,5,10,1,2,2,A,3.4,3.25,3,H,2.1,Fulham,3.8,2,M Clattenburg,E0,0,04/04/10,2009
707,19,7,1,Burnley,0,6,1,9,11,5,3.6,4,14,4,1,1.7,D,4.3,3.4,1,A,1.8,Hull,5,1,M Atkinson,E0,0,10/04/10,2009
708,12,7,0,Sunderland,0,2,0,9,10,1,3.3,6,20,0,3,2,D,4,3.4,7,H,1.85,West Ham,3.8,1,M Jones,E0,0,10/04/10,2009
709,14,6,0,Man United,0,1,0,13,8,1,4.2,7,12,0,2,7.5,D,1.45,4,7,D,7,Blackburn,1.44,0,P Walton,E0,0,11/04/10,2009
710,6,2,0,Fulham,0,10,0,2,18,1,4.8,9,16,0,3,1.3,D,9.5,4.8,1,D,1.3,Liverpool,11,0,A Marriner,E0,0,11/04/10,2009
711,12,3,1,Birmingham,0,8,3,5,17,0,4.5,8,9,1,3,1.36,H,7.5,4.3,4,H,1.4,Man City,9,5,P Dowd,E0,0,11/04/10,2009
712,7,1,0,Stoke,0,7,0,9,10,0,3.2,8,4,0,0,2.3,D,3.2,3.2,6,D,2.2,Wolves,3.2,0,C Foy,E0,0,11/04/10,2009
713,13,2,0,Bolton,0,5,1,7,18,1,6,8,22,0,4,1.12,H,15,6.5,2,H,1.15,Chelsea,15,1,L Probert,E0,0,13/04/10,2009
714,11,10,1,Everton,0,7,0,13,10,2,3.3,7,9,2,2,2.15,A,3.2,3.2,6,D,2.1,Aston Villa,2.8,2,M Atkinson,E0,0,14/04/10,2009
715,13,11,0,Arsenal,0,4,1,19,13,3,3.3,10,10,1,1,2.9,H,2.3,3.3,6,H,2.9,Tottenham,2.25,2,M Clattenburg,E0,0,14/04/10,2009
716,16,2,0,Portsmouth,0,10,0,6,24,2,3.6,14,9,0,1,1.53,D,5.6,3.6,3,D,1.55,Wigan,5,0,M Dean,E0,0,14/04/10,2009
717,11,4,0,Hull,0,8,0,11,10,0,3.4,7,12,0,0,1.8,D,4.1,3.5,1,D,1.75,Birmingham,4.6,0,M Clattenburg,E0,0,17/04/10,2009
718,15,4,1,Everton,0,4,0,11,15,3,3.2,10,10,3,2,2.75,A,2.55,3.1,2,A,2.55,Blackburn,2.6,2,A Marriner,E0,0,17/04/10,2009
719,9,1,0,Wolves,0,5,0,5,11,1,3.3,4,11,0,0,2,D,3.4,3.1,9,D,2.05,Fulham,3.8,0,M Dean,E0,0,17/04/10,2009
720,8,3,0,Man United,0,7,0,13,8,2,3.4,5,12,1,1,2.7,D,2.4,3.2,5,A,2.7,Man City,2.5,0,M Atkinson,E0,0,17/04/10,2009
721,10,8,0,Bolton,0,5,1,13,11,1,3.3,5,5,2,2,1.95,H,3.7,3,1,A,2,Stoke,4,1,S Attwell,E0,0,17/04/10,2009
722,14,4,0,Burnley,0,3,2,9,16,3,3.8,11,17,1,2,1.57,H,4.6,3.5,3,H,1.65,Sunderland,6,2,H Webb,E0,0,17/04/10,2009
723,7,6,0,Chelsea,1,13,2,9,20,2,3.5,10,14,1,4,4.2,H,2,3.3,4,H,3.3,Tottenham,1.85,2,P Dowd,E0,0,17/04/10,2009
724,5,9,1,Aston Villa,0,7,1,12,16,0,3.75,12,10,2,0,5.5,D,1.7,3.5,6,A,4.4,Portsmouth,1.62,1,L Probert,E0,0,18/04/10,2009
725,15,8,1,Arsenal,0,8,0,11,16,2,4,11,13,2,1,6,A,1.55,3.8,3,H,5.2,Wigan,1.53,3,L Mason,E0,0,18/04/10,2009
726,8,2,0,West Ham,0,9,2,6,17,0,4.5,8,12,0,2,1.36,H,8.5,4.8,2,H,1.3,Liverpool,9,3,P Walton,E0,0,19/04/10,2009
727,8,5,1,Aston Villa,0,11,0,11,14,2,3.3,10,7,2,2,3.3,A,2,3.3,9,A,3.3,Hull,2.2,0,M Dean,E0,0,21/04/10,2009
728,13,2,0,Man City,0,5,0,3,9,4,3.5,4,14,0,2,1.95,D,3.55,3.4,1,D,1.9,Arsenal,3.8,0,M Dean,E0,0,24/04/10,2009
729,16,6,0,Portsmouth,0,12,2,13,14,1,4,10,13,2,1,1.53,H,5.4,3.7,5,D,1.55,Bolton,6,2,H Webb,E0,0,24/04/10,2009
730,12,5,1,Sunderland,1,3,0,10,14,1,3.3,8,17,1,3,2.3,A,3.1,3.3,6,A,2.1,Hull,3.1,0,L Probert,E0,1,24/04/10,2009
731,13,3,0,Tottenham,0,4,0,9,15,1,4.5,8,10,1,0,1.44,D,6.5,3.9,4,H,1.45,Man United,6.5,3,A Marriner,E0,0,24/04/10,2009
732,9,10,1,Wigan,0,4,2,12,9,1,3.5,7,10,2,2,1.8,H,4,3.4,5,H,1.8,West Ham,4.5,3,A Wiley,E0,0,24/04/10,2009
733,9,8,1,Blackburn,0,4,0,12,14,0,3.2,5,8,1,1,2.25,A,3.3,3.1,4,D,2.1,Wolves,3.3,1,M Clattenburg,E0,0,24/04/10,2009
734,12,14,0,Birmingham,0,7,0,16,10,1,3.8,6,16,0,4,1.57,D,4.6,3.5,5,H,1.65,Aston Villa,6,1,M Atkinson,E0,0,25/04/10,2009
735,13,10,0,Liverpool,0,4,0,12,12,2,4,6,11,4,1,5.5,D,1.55,3.7,5,A,5.4,Burnley,1.57,0,P Dowd,E0,0,25/04/10,2009
736,14,2,0,Stoke,0,7,3,3,29,0,8,18,12,0,3,1.12,H,14,6.2,0,H,1.15,Chelsea,21,7,S Bennett,E0,0,25/04/10,2009
737,7,6,1,Fulham,0,9,0,8,15,0,4.33,9,12,1,1,1.4,A,7,4.1,3,H,1.4,Everton,8.5,2,L Mason,E0,0,25/04/10,2009
738,11,7,0,Burnley,0,6,2,12,13,2,4.1,4,10,1,1,1.5,H,5.4,3.7,8,H,1.55,Birmingham,6.5,2,P Walton,E0,0,01/05/10,2009
739,6,6,1,Aston Villa,0,13,2,10,17,1,3.6,12,9,1,2,1.83,H,3.8,3.4,5,H,1.85,Man City,4.2,3,M Clattenburg,E0,0,01/05/10,2009
740,10,11,1,Wolves,0,7,2,18,12,0,3.3,8,13,1,1,2.4,H,2.8,3.2,9,H,2.3,Portsmouth,2.9,3,M Jones,E0,0,01/05/10,2009
741,10,9,0,Everton,0,6,0,11,12,0,3.3,6,10,0,0,3.6,D,2.1,3.3,5,D,3.1,Stoke,2.05,0,H Webb,E0,0,01/05/10,2009
742,11,7,0,Bolton,0,11,1,11,25,0,5.5,12,10,0,3,1.25,H,12,5.5,7,H,1.2,Tottenham,12,1,C Foy,E0,0,01/05/10,2009
743,10,5,0,West Ham,0,9,1,7,5,0,3.25,3,14,2,0,2.25,H,3.3,3.1,3,H,2.1,Fulham,3.2,3,A Marriner,E0,0,02/05/10,2009
744,7,11,1,Chelsea,0,9,0,15,7,1,3.6,2,7,2,2,4,A,1.85,3.4,5,A,3.8,Liverpool,1.85,0,A Wiley,E0,0,02/05/10,2009
745,10,9,1,Man United,0,9,0,14,10,3,4.8,2,9,1,2,8,A,1.35,4.5,4,A,7.3,Sunderland,1.36,0,S Bennett,E0,0,02/05/10,2009
746,19,4,1,Arsenal,0,5,1,6,11,2,3.4,7,15,1,2,3.5,D,2.1,3.1,8,H,3.3,Blackburn,2.05,2,M Atkinson,E0,0,03/05/10,2009
747,11,3,1,Hull,0,8,1,6,13,2,3.5,7,14,2,0,1.75,D,4,3.4,1,D,1.8,Wigan,4.8,2,P Dowd,E0,0,03/05/10,2009
748,7,2,0,Stoke,0,8,0,5,12,1,3.3,6,6,1,3,2.05,D,3.4,3.2,3,A,2,Fulham,3.6,0,P Walton,E0,0,05/05/10,2009
749,12,6,0,Tottenham,0,9,0,10,10,0,3.4,5,14,1,3,2,D,3.7,3.3,7,A,1.9,Man City,3.75,0,S Bennett,E0,0,05/05/10,2009
750,11,2,0,Fulham,0,5,3,5,16,2,7,11,10,0,2,1.17,H,14,6.2,2,H,1.15,Arsenal,15,4,M Jones,E0,0,09/05/10,2009
751,14,3,0,Blackburn,0,11,0,9,16,2,4,12,12,1,1,1.53,D,5.7,3.8,5,A,1.5,Aston Villa,6,0,S Bennett,E0,0,09/05/10,2009
752,14,5,0,Birmingham,0,3,1,10,14,2,3.25,8,17,1,5,2.2,H,3,3.2,6,H,2.2,Bolton,3.3,2,K Friend,E0,0,09/05/10,2009
753,9,11,2,Tottenham,0,5,1,16,16,0,4,12,8,2,0,7,A,1.4,4.1,6,H,7,Burnley,1.5,4,M Dean,E0,0,09/05/10,2009
754,14,3,0,Wigan,1,2,2,4,17,2,9,10,9,0,2,1.1,H,25,10,3,H,1.05,Chelsea,21,8,M Atkinson,E0,0,09/05/10,2009
755,12,4,0,Portsmouth,0,14,0,10,21,0,5.5,13,11,0,0,1.29,D,8.5,4.8,1,H,1.3,Everton,10,1,P Walton,E0,0,09/05/10,2009
756,15,7,0,Liverpool,0,2,0,19,11,1,4,6,11,0,0,6,D,1.5,3.9,6,D,5.5,Hull,1.53,0,A Marriner,E0,0,09/05/10,2009
757,10,4,0,Stoke,0,10,2,4,18,2,8.5,13,4,0,0,1.11,H,15,7.3,2,H,1.1,Man United,21,4,M Clattenburg,E0,0,09/05/10,2009
758,12,6,1,Man City,0,4,1,17,12,2,3.5,8,7,1,0,4.33,D,1.9,3.4,3,D,3.55,West Ham,1.83,1,H Webb,E0,0,09/05/10,2009
759,11,5,1,Sunderland,2,4,1,11,14,1,3.2,7,19,1,2,2.3,D,3,3.2,1,H,2.2,Wolves,3.2,2,L Mason,E0,0,09/05/10,2009
760,15,9,0,Everton,0,4,0,12,8,0,3.2,4,17,2,3,2,D,3,2.9,4,A,2,Charlton,3.2,1,N. S. Barry,E0,0,18/08/01,2001
761,14,4,0,Blackburn,0,4,1,14,7,1,3.2,3,15,1,0,2.25,H,2.5,2.9,10,H,2.3,Derby,2.75,2,P. A. Durkin,E0,0,18/08/01,2001
762,16,6,0,Southampton,1,10,0,11,16,1,3.75,6,24,0,2,1.36,D,5.5,3.6,3,H,1.4,Leeds,8,2,C. R. Wilkes ,E0,0,18/08/01,2001
763,21,8,4,Bolton,0,3,0,18,6,4,3.4,1,17,5,3,1.72,A,3.3,3,5,A,1.85,Leicester,4,0,R. Styles,E0,0,18/08/01,2001
764,13,3,1,West Ham,0,5,1,3,9,1,3.75,6,12,1,5,1.36,D,5.5,3.6,3,H,1.4,Liverpool,8,2,J. T. Winter,E0,0,18/08/01,2001
765,13,9,1,Arsenal,1,2,0,14,6,2,3.2,2,19,4,3,3.2,A,2.1,2.9,6,A,2.9,Middlesbrough,2,0,G. P. Barber,E0,1,18/08/01,2001
766,22,4,0,Ipswich,0,1,1,10,12,0,3.3,6,20,0,1,1.83,H,3.3,3,1,H,1.85,Sunderland,3.6,1,G. Poll,E0,0,18/08/01,2001
767,12,2,0,Aston Villa,0,6,0,11,8,3,3.25,2,17,0,2,1.9,D,2.9,2.9,5,D,2.1,Tottenham,3.4,0,D. J. Gallagher,E0,0,18/08/01,2001
768,19,3,0,Newcastle,0,12,1,9,13,3,3.25,8,20,1,4,1.57,H,4,3.3,7,D,1.6,Chelsea,5.5,1,A. P. D'Urso ,E0,0,19/08/01,2001
769,17,5,1,Fulham,0,6,1,8,12,0,4.33,6,19,2,1,1.28,D,5.5,3.6,4,H,1.4,Man United,8.5,3,P. Jones ,E0,0,19/08/01,2001
770,15,2,1,Tottenham,2,8,0,7,18,3,3.2,11,12,1,2,2.25,A,2.7,2.9,0,D,2.2,Everton,2.75,1,D. R. Elleray ,E0,0,20/08/01,2001
771,28,2,1,Leeds,2,10,1,5,14,4,3.25,5,29,2,5,1.72,D,3.5,3,2,A,1.8,Arsenal,4.2,1,J. T. Winter ,E0,0,21/08/01,2001
772,19,4,0,Middlesbrough,0,5,1,11,13,1,3.25,3,16,0,1,2.2,H,2.6,3,2,H,2.2,Bolton,2.75,1,S. W. Dunn ,E0,0,21/08/01,2001
773,21,2,0,Derby,1,19,1,2,30,0,3.3,18,14,1,3,1.66,H,3.9,3.2,2,H,1.65,Ipswich,4.5,3,E. K. Wolstenholme ,E0,0,21/08/01,2001
774,18,7,1,Man United,0,3,0,18,12,2,3.3,5,16,2,1,4.5,A,1.6,3.2,8,D,4.2,Blackburn,1.66,2,A. G. Wiley ,E0,1,22/08/01,2001
775,18,3,0,Sunderland,0,8,0,8,13,0,3.2,5,20,0,2,1.9,D,3,2.9,9,H,2,Fulham,3.5,2,B. Knight ,E0,0,22/08/01,2001
776,14,0,0,Leicester,1,9,2,2,20,1,5,11,20,0,4,1.22,H,8,4.3,0,H,1.25,Arsenal,9.5,4,A. P. D'Urso ,E0,1,25/08/01,2001
777,14,5,0,Tottenham,0,3,1,12,12,1,3.1,7,11,1,1,2.3,H,2.9,2.9,6,H,2.1,Blackburn,2.75,2,S. G. Bennett,E0,0,25/08/01,2001
778,25,1,0,Middlesbrough,0,3,1,5,7,2,3.1,5,23,0,1,2,H,3,2.9,6,H,2,Everton,3.3,2,U. D. Rennie,E0,0,25/08/01,2001
779,12,2,0,Derby,0,11,0,9,10,2,3.4,1,14,0,3,1.5,D,4.5,3.3,3,D,1.55,Fulham,6,0,M. L Dean,E0,0,25/08/01,2001
780,22,6,0,Charlton,0,6,0,13,17,2,3.3,11,20,1,6,1.61,D,3.8,3.1,1,A,1.7,Ipswich,5,0,S. W. Dunn ,E0,0,25/08/01,2001
781,13,2,1,Chelsea,0,6,0,7,8,0,3.2,2,18,2,1,3,A,2.1,2.9,2,A,2.9,Southampton,2.1,0,D. R. Elleray ,E0,0,25/08/01,2001
782,19,4,0,Leeds,0,5,0,10,11,3,3.3,3,14,0,2,3.1,D,2.1,2.9,8,D,2.9,West Ham,2,0,P. A. Durkin ,E0,0,25/08/01,2001
783,9,7,0,Man United,0,5,1,13,11,0,3.25,4,12,1,2,4.2,H,1.8,3,5,D,3.5,Aston Villa,1.72,1,G. P. Barber ,E0,0,26/08/01,2001
784,19,3,1,Sunderland,0,10,1,6,16,2,3.1,6,18,1,2,2.2,D,3,2.9,4,D,2,Newcastle,2.87,1,M. A. Riley ,E0,0,26/08/01,2001
785,13,7,0,Liverpool,0,4,1,18,11,2,3.3,4,11,1,2,5.5,H,1.8,3,6,H,3.5,Bolton,1.57,2,G. Poll ,E0,0,27/08/01,2001
786,20,11,1,Arsenal,0,5,1,14,10,1,3.1,5,20,1,5,2.5,D,2.5,2.9,6,D,2.3,Chelsea,2.5,1,M. A. Riley ,E0,1,08/09/01,2001
787,22,4,0,West Ham,0,3,0,10,6,5,3.1,3,19,0,2,2.2,D,3,2.9,4,D,2,Derby,2.87,0,C. R. Wilkes,E0,0,08/09/01,2001
788,13,4,0,Bolton,0,7,0,8,11,1,3.75,6,17,0,1,1.44,D,5,3.5,5,D,1.45,Leeds,6,0,S. G. Bennett,E0,0,08/09/01,2001
789,26,9,1,Ipswich,1,6,0,13,12,3,3.2,7,24,1,3,2.8,A,2.3,3.1,3,D,2.3,Leicester,2.2,1,B. Knight,E0,1,08/09/01,2001
790,19,7,1,Aston Villa,0,7,0,10,12,3,3.4,7,14,3,1,1.53,A,4.5,3.3,0,A,1.55,Liverpool,5.5,1,A. P. D'Urso,E0,1,08/09/01,2001
791,7,1,0,Everton,0,6,2,5,18,0,4.33,9,11,1,1,1.3,H,7,4,2,H,1.3,Man United,8,4,D. J. Gallagher,E0,0,08/09/01,2001
792,15,5,1,Newcastle,0,3,1,8,8,1,3.1,4,17,4,3,2.37,D,2.5,2.9,3,A,2.3,Middlesbrough,2.62,1,G. Poll,E0,1,08/09/01,2001
793,9,4,0,Blackburn,0,4,0,10,11,2,3.3,4,14,0,3,1.8,D,3.5,3,10,H,1.8,Sunderland,3.75,1,M. L Dean,E0,0,08/09/01,2001
794,22,5,1,Fulham,0,5,1,16,7,2,3.1,4,12,1,1,2.5,D,2.5,2.9,6,D,2.3,Charlton,2.5,1,J. T. Winter,E0,0,09/09/01,2001
795,15,6,0,Southampton,0,3,0,15,18,0,3.3,6,16,0,0,1.57,D,3.9,3.2,3,H,1.65,Tottenham,5.5,2,A. G. Wiley,E0,0,09/09/01,2001
796,11,6,0,Southampton,0,3,0,10,4,1,3.3,0,19,1,1,1.8,D,3.3,3,2,A,1.85,Bolton,3.75,0,D. Pugh,E0,0,15/09/01,2001
797,16,6,1,Leicester,0,8,1,12,15,5,3.3,9,23,3,3,1.83,D,3.5,3,8,A,1.8,Derby,3.6,2,G. P. Barber,E0,0,15/09/01,2001
798,16,9,2,Liverpool,0,4,1,13,11,0,3.2,5,13,3,1,3,A,2.2,2.9,2,A,2.7,Everton,2.1,1,P.A. Durkin,E0,0,15/09/01,2001
799,18,6,1,Arsenal,0,4,0,11,6,3,3.1,3,20,3,4,2.87,A,2.2,2.9,5,A,2.7,Fulham,2.2,1,A.G. Wiley,E0,0,15/09/01,2001
800,16,1,0,West Ham,1,8,2,5,13,2,3.1,5,23,0,3,2.2,H,2.9,2.9,1,H,2.1,Middlesbrough,2.87,2,M. A. Riley,E0,0,15/09/01,2001
801,17,7,1,Man United,1,8,2,10,15,2,3.25,8,16,3,1,3.4,H,2,3,5,H,2.9,Newcastle,1.9,4,S. G. Bennett,E0,0,15/09/01,2001
802,20,2,0,Sunderland,0,10,0,4,8,0,3.1,3,25,0,4,1.8,D,3.6,3.1,3,D,1.75,Aston Villa,4,0,U. D. Rennie,E0,0,16/09/01,2001
803,13,9,1,Leeds,0,8,0,20,9,2,3.2,4,14,2,1,3.5,A,2.1,2.9,9,A,2.9,Charlton,1.9,0,M. R. Halsey,E0,1,16/09/01,2001
804,8,4,0,Blackburn,0,6,1,6,20,3,3.25,10,15,1,1,1.9,H,3.3,3,13,D,1.85,Ipswich,3.4,1,G. Poll,E0,0,16/09/01,2001
805,10,4,1,Chelsea,1,6,0,6,11,1,3.1,4,12,3,4,2.6,A,2.2,2.9,6,A,2.7,Tottenham,2.4,2,S. W. Dunn,E0,0,16/09/01,2001
806,19,6,0,Middlesbrough,0,4,1,13,10,0,3.2,5,15,2,1,2.2,H,2.4,3,2,A,2.3,Leicester,2.8,1,N. S. Barry,E0,0,17/09/01,2001
807,14,5,0,Bolton,0,10,0,10,20,0,3.3,8,15,1,4,1.83,D,3,2.9,2,D,2,Blackburn,3.6,1,J. T. Winter,E0,0,19/09/01,2001
808,9,6,1,Tottenham,0,11,0,13,14,1,3.25,8,14,2,2,1.9,A,3.5,3,4,A,1.8,Sunderland,3.4,1,P. A. Durkin,E0,0,19/09/01,2001
809,9,4,0,Bolton,1,17,0,7,23,1,4.5,12,11,1,1,1.28,D,6.2,3.8,0,D,1.35,Arsenal,8,1,C. R. Wilkes,E0,0,22/09/01,2001
810,18,7,0,Everton,0,5,1,14,13,1,3.2,6,17,0,2,1.9,H,3.2,2.9,4,H,1.9,Blackburn,3.5,1,G. P. Barber,E0,0,22/09/01,2001
811,15,2,0,Fulham,0,4,0,6,12,2,3.2,5,21,0,2,3,D,2.4,2.9,4,D,2.4,Leicester,2.1,0,E. K. Wolstenholme,E0,0,22/09/01,2001
812,12,5,0,Tottenham,0,2,0,11,14,0,3.4,6,9,0,1,1.5,D,4.7,3.4,5,H,1.5,Liverpool,6,1,D. J. Gallagher,E0,0,22/09/01,2001
813,14,1,0,Ipswich,0,8,2,8,13,0,4.5,8,17,0,1,1.25,H,6.2,3.8,4,H,1.35,Man United,10,4,N. S. Barry,E0,0,22/09/01,2001
814,20,5,1,Charlton,0,9,0,13,22,2,3.3,13,13,2,3,1.61,A,4.2,3.2,8,D,1.6,Sunderland,5,2,A. P. D'Urso,E0,0,22/09/01,2001
815,17,2,0,Middlesbrough,0,8,2,4,8,4,3.6,3,15,2,1,1.44,H,5,3.5,2,D,1.45,Chelsea,6.5,2,R. Styles,E0,0,23/09/01,2001
816,26,2,0,Derby,0,9,1,9,19,1,3.6,10,17,0,2,1.36,H,6.2,3.8,3,H,1.35,Leeds,9,3,A. G. Wiley,E0,0,23/09/01,2001
817,20,5,0,Newcastle,0,10,1,8,17,3,3.2,9,17,0,0,2.62,H,2.4,2.9,7,H,2.4,West Ham,2.3,3,P. Jones,E0,0,23/09/01,2001
818,15,5,2,Aston Villa,1,2,1,11,12,1,3,4,18,3,2,2.7,A,2.4,2.9,3,A,2.4,Southampton,2.4,1,S. W. Dunn,E0,1,24/09/01,2001
819,17,2,0,Leicester,0,10,1,2,12,2,3.4,6,27,0,3,1.53,H,4.7,3.4,1,H,1.5,Newcastle,5.5,1,D. Pugh,E0,0,26/09/01,2001
820,10,7,0,Sunderland,0,8,0,14,15,1,3.2,8,13,2,1,2.2,D,2.9,2.9,4,A,2.1,Bolton,2.8,0,D. R. Elleray,E0,0,29/09/01,2001
821,12,6,0,Leicester,1,4,1,9,14,1,3.2,12,11,0,2,1.83,H,3.3,3,4,H,1.85,Charlton,3.75,2,M. L. Dean,E0,1,29/09/01,2001
822,18,6,1,Arsenal,1,2,0,11,7,3,3.1,5,19,2,3,4,A,1.85,3,5,A,3.3,Derby,1.8,0,R. Styles,E0,0,29/09/01,2001
823,15,5,0,West Ham,0,8,1,15,18,0,3.25,11,8,0,0,1.9,H,3,2.9,4,H,2,Everton,3.4,5,P. A. Durkin,E0,0,29/09/01,2001
824,16,4,0,Southampton,0,6,0,8,5,0,3.25,3,17,3,1,1.72,D,3.6,3.1,0,A,1.75,Middlesbrough,4.2,1,A. G. Wiley,E0,0,29/09/01,2001
825,16,9,0,Man United,0,4,3,18,7,3,3.2,3,10,5,3,3.2,H,2.1,2.9,7,A,2.9,Tottenham,2,3,J. T. Winter,E0,0,29/09/01,2001
826,9,1,0,Blackburn,0,2,0,4,5,2,3.2,2,15,0,2,1.72,D,3.5,3,8,H,1.8,Aston Villa,4.33,2,M. R. Halsey,E0,0,30/09/01,2001
827,5,3,1,Chelsea,1,5,0,9,4,1,2.9,1,14,1,4,2.62,A,2.4,2.9,7,D,2.4,Fulham,2.5,1,G. Poll,E0,0,30/09/01,2001
828,8,7,0,Leeds,0,10,1,11,11,0,3,6,8,2,1,3.2,H,2.1,2.9,8,A,2.9,Ipswich,2.1,1,A. P. D'Urso,E0,0,30/09/01,2001
829,14,2,1,Liverpool,0,7,0,6,7,1,3.1,3,23,2,4,2.75,A,2.4,2.9,0,A,2.4,Newcastle,2.3,0,G. P. Barber,E0,0,30/09/01,2001
830,10,8,1,Newcastle,0,7,0,15,9,2,3.1,3,9,4,2,2.4,A,2.5,3,8,A,2.5,Bolton,2.6,0,M. A. Riley,E0,1,13/10/01,2001
831,14,4,0,Middlesbrough,0,13,0,11,8,2,3.2,4,13,0,1,2,D,2.9,3,4,D,2.2,Charlton,3.2,0,D. R. Elleray,E0,0,13/10/01,2001
832,9,2,0,Leicester,0,5,2,8,22,0,4.5,10,13,0,0,1.28,H,7,4,3,H,1.35,Chelsea,8,2,J. T. Winter,E0,0,13/10/01,2001
833,8,6,0,Everton,0,8,0,9,7,0,3.2,4,5,0,1,2,D,3.2,3.1,6,D,2,Ipswich,3.2,0,C. R. Wilkes,E0,0,13/10/01,2001
834,11,3,1,Leeds,0,6,0,9,10,3,3.2,2,14,1,2,2.2,A,3.2,3.1,4,D,2,Liverpool,2.8,1,A. G. Wiley,E0,0,13/10/01,2001
835,15,8,1,Arsenal,0,1,0,21,3,2,3.2,0,9,2,1,4.33,A,1.8,3.2,6,A,3.6,Southampton,1.72,0,G. P. Barber,E0,1,13/10/01,2001
836,12,8,1,Man United,0,3,0,13,15,0,3.2,7,15,3,0,3.5,A,2,3.1,4,A,3.2,Sunderland,1.9,1,G. Poll,E0,0,13/10/01,2001
837,9,3,0,Fulham,0,5,0,11,9,1,3,3,8,0,1,1.9,D,3.8,3.1,2,H,1.8,Aston Villa,3.75,2,P. A. Durkin,E0,0,14/10/01,2001
838,8,5,1,West Ham,1,7,3,12,24,1,3.2,14,6,1,3,1.83,H,3.6,3.1,7,H,1.85,Blackburn,3.75,7,A. P. D'Urso,E0,0,14/10/01,2001
839,11,6,1,Derby,0,16,2,8,24,0,3.4,12,6,1,2,1.53,H,4.6,3.4,2,H,1.6,Tottenham,5.5,3,M. R. Halsey,E0,0,15/10/01,2001
840,13,5,1,Blackburn,0,5,0,9,18,1,,11,20,3,2,,A,6,3.9,4,D,1.4,Arsenal,,3,U. D. Rennie,E0,0,20/10/01,2001
841,12,7,0,Charlton,0,5,1,11,10,3,3.2,5,11,1,0,2.25,H,3.1,3,5,D,2.1,Derby,2.75,1,A. P. D'Urso,E0,0,20/10/01,2001
842,15,3,0,Aston Villa,0,8,1,11,10,0,2.9,6,14,2,1,2.62,H,2.5,3,4,H,2.5,Everton,2.5,3,R. Styles,E0,0,20/10/01,2001
843,11,6,3,Liverpool,0,6,0,12,8,1,3.3,3,13,4,2,4.5,A,1.7,3.3,6,A,4,Leicester,1.66,1,M. R. Halsey,E0,0,20/10/01,2001
844,11,2,1,Bolton,0,8,1,7,13,0,5.5,6,6,2,0,1.16,D,9,4.5,0,A,1.25,Man United,12,1,G. P. Barber,E0,0,20/10/01,2001
845,16,3,0,Southampton,1,10,0,10,20,0,3.2,8,16,0,1,1.9,D,3.2,3.1,7,H,2,West Ham,3.5,2,N. S. Barry,E0,0,20/10/01,2001
846,25,2,0,Ipswich,0,3,1,6,7,2,3.2,3,17,1,3,1.72,H,3.8,3.1,3,D,1.8,Fulham,4.33,1,M. A. Riley,E0,1,21/10/01,2001
847,20,6,0,Chelsea,0,10,0,14,18,2,3.25,12,17,0,3,1.72,D,3.5,3.1,8,D,1.9,Leeds,4.2,0,P. A. Durkin,E0,0,21/10/01,2001
848,16,3,2,Tottenham,0,7,0,9,8,2,3.2,3,10,2,1,1.83,A,3.5,3.2,2,A,1.85,Newcastle,3.75,0,A. G. Wiley,E0,0,21/10/01,2001
849,18,5,0,Sunderland,0,4,2,15,7,1,2.9,5,16,0,2,2.5,H,2.6,3,5,H,2.4,Middlesbrough,2.62,2,M. R. Halsey,E0,1,22/10/01,2001
850,6,0,0,Charlton,0,3,1,4,16,0,3.5,6,8,0,0,1.57,H,4.8,3.5,4,H,1.55,Aston Villa,5,1,D. Pugh,E0,0,24/10/01,2001
851,14,5,1,Ipswich,0,4,2,10,11,2,3.2,6,5,3,1,2.25,H,2.9,3,7,D,2.2,Southampton,2.75,3,U. D. Rennie,E0,0,24/10/01,2001
852,11,5,1,Chelsea,0,1,2,15,10,0,3.1,4,6,1,0,2.87,H,2,3.1,8,H,3.2,West Ham,2.2,2,D. J. Gallagher,E0,0,24/10/01,2001
853,13,5,1,Bolton,0,6,2,9,10,2,3.4,7,16,2,3,1.57,H,4.6,3.4,2,H,1.6,Aston Villa,5.5,3,E. K. Wolstenholme,E0,0,27/10/01,2001
