,HTAG,HF,FTR,FTAG,AY,AR,HST,HS,Date,AC,AF,HR,FTHG,IWA,HC,AwayTeam,HTHG,IWD,Div,WHH,WHD,IWH,AS,HTR,HY,WHA,AST,Referee,HomeTeam,SeasonDate
34,1,18,A,3,1,0,6,10,28/08/05,1,15,0,0,3.2,6,Charlton,0,3.1,E0,1.83,3.2,2,12,A,2,3.75,8,M Dean,Middlesbrough,2005
35,0,26,A,2,2,0,4,9,28/08/05,3,16,0,0,1.7,5,Man United,0,3.2,E0,5.5,3.3,4.2,11,D,1,1.57,5,H Webb,Newcastle,2005
36,1,9,A,1,2,0,5,18,10/09/05,4,10,0,0,2.7,13,Charlton,0,3,E0,2.25,3.2,2.3,8,A,0,2.75,4,M Halsey,Birmingham,2005
37,0,14,H,0,0,0,6,9,10/09/05,2,10,0,2,11,4,Sunderland,0,5.5,E0,1.1,6.5,1.17,2,D,1,17,2,M Dean,Chelsea,2005
38,0,10,A,1,1,0,6,11,10/09/05,6,12,0,0,4.4,11,Portsmouth,0,3.3,E0,1.57,3.3,1.65,12,D,2,5.5,8,M Atkinson,Everton,2005
39,0,12,D,1,4,0,2,7,10/09/05,5,18,0,1,6,3,Man City,1,3.9,E0,1.4,3.5,1.4,5,H,1,8,3,S Bennett,Man United,2005
40,0,17,H,1,4,0,5,6,10/09/05,7,16,0,2,1.75,6,Arsenal,1,3.2,E0,5,3.3,4,13,H,3,1.61,8,M Riley,Middlesbrough,2005
41,1,19,D,1,1,0,10,15,10/09/05,8,16,1,1,4.2,10,Fulham,0,3.2,E0,1.66,3.3,1.7,13,A,4,4.5,8,A Wiley,Newcastle,2005
42,0,16,D,0,1,0,7,10,10/09/05,4,13,0,0,2.7,4,Liverpool,0,3,E0,2.4,3.1,2.3,11,D,1,2.6,6,H Webb,Tottenham,2005
43,1,19,A,2,1,0,5,10,10/09/05,0,15,0,1,2.9,5,Wigan,1,3,E0,1.95,3.1,2.2,9,D,3,3.5,4,M Clattenburg,West Brom,2005
44,0,18,D,0,2,0,6,12,11/09/05,4,17,0,0,3.8,4,Blackburn,0,3.1,E0,1.9,3.1,1.8,7,D,1,3.6,3,G Poll,Bolton,2005
45,0,15,H,0,1,0,9,14,12/09/05,11,12,0,4,2.7,4,Aston Villa,2,3,E0,2.5,2.9,2.3,14,H,0,2.62,8,R Styles,West Ham,2005
46,0,14,D,1,2,0,6,13,17/09/05,3,14,0,1,2.6,4,Tottenham,1,3,E0,2.62,3.2,2.4,13,H,1,2.3,7,S Bennett,Aston Villa,2005
47,0,11,A,2,2,0,4,11,17/09/05,7,10,0,0,1.6,2,Chelsea,0,3.4,E0,6.5,3.6,4.6,16,D,0,1.44,11,H Webb,Charlton,2005
48,0,11,A,2,1,0,6,9,17/09/05,6,14,0,1,3.1,4,West Ham,0,3,E0,2.1,3.2,2.1,10,D,2,3,3,G Poll,Fulham,2005
49,1,16,D,1,0,1,9,14,17/09/05,3,14,0,1,2.7,7,Birmingham,1,3,E0,2.25,3.2,2.3,3,D,2,2.75,2,D Gallagher,Portsmouth,2005
50,0,19,D,1,3,0,6,11,17/09/05,9,11,0,1,2.7,1,West Brom,1,3,E0,2.37,3.1,2.3,13,H,0,2.62,6,R Beeby,Sunderland,2005
51,0,14,A,3,5,1,10,17,18/09/05,2,19,0,0,2.7,7,Newcastle,0,3,E0,2.25,3.2,2.3,4,D,1,2.75,3,M Riley,Blackburn,2005
52,0,24,D,0,2,0,3,9,18/09/05,2,15,0,0,2.5,4,Man United,0,3,E0,2.75,3.2,2.5,4,D,2,2.25,1,R Styles,Liverpool,2005
53,0,14,A,1,1,0,8,17,18/09/05,5,16,0,0,3.2,7,Bolton,0,3.1,E0,1.9,3.2,2,5,D,1,3.5,1,M Dean,Man City,2005
54,1,11,D,1,1,0,4,11,18/09/05,5,16,0,1,2.5,4,Middlesbrough,0,3,E0,2.62,3.1,2.5,10,A,0,2.37,3,U Rennie,Wigan,2005
55,0,13,H,0,3,0,4,11,19/09/05,0,19,0,2,6,4,Everton,2,3.9,E0,1.33,4,1.4,4,H,2,8,2,A Wiley,Arsenal,2005
56,0,14,D,2,3,0,4,4,24/09/05,7,14,1,2,2.2,3,Liverpool,0,3,E0,3.2,3,2.9,14,D,2,2.1,6,S Bennett,Birmingham,2005
57,0,9,H,0,2,0,2,11,24/09/05,3,6,0,1,4,7,Portsmouth,1,3.2,E0,1.83,3,1.75,6,H,2,4,4,M Clattenburg,Bolton,2005
58,1,8,H,1,1,0,6,18,24/09/05,1,17,0,2,8.5,9,Aston Villa,1,4.3,E0,1.2,5,1.27,3,D,1,11,2,B Knight,Chelsea,2005
59,0,17,A,1,1,0,7,14,24/09/05,3,21,0,0,3.6,11,Wigan,0,3.1,E0,1.83,3,1.85,11,D,2,4,3,R Styles,Everton,2005
