,HTAG,HF,FTR,FTAG,AY,AR,HST,HS,Date,AC,AF,HR,FTHG,IWA,HC,AwayTeam,HTHG,IWD,Div,WHH,WHD,IWH,AS,HTR,HY,WHA,AST,Referee,HomeTeam,SeasonDate
1805,1,10,D,1,3,0,7,22,15/03/15,2,11,0,1,6.1,9,Southampton,1,4,E0,1.62,3.6,1.5,12,D,3,6,5,M Dean,Chelsea,2014
1806,0,11,H,0,2,1,9,15,15/03/15,4,9,0,3,4,3,Newcastle,1,3.45,E0,1.85,3.4,1.85,12,H,1,4.5,4,M Atkinson,Everton,2014
1807,0,12,H,0,1,0,3,11,15/03/15,2,10,0,3,3.8,4,Tottenham,3,3.45,E0,1.95,3.4,1.9,5,H,1,4,1,M Clattenburg,Man United,2014
1808,0,13,A,1,3,0,3,10,16/03/15,5,16,0,0,2.1,4,Liverpool,0,3.3,E0,4,3.1,3.3,16,D,0,2.05,5,R East,Swansea,2014
1809,0,13,A,1,0,0,3,12,21/03/15,9,9,0,0,3,4,Swansea,0,3.2,E0,2.4,3.1,2.3,9,D,0,3.1,6,R Madley,Aston Villa,2014
1810,0,6,H,0,0,1,16,43,21/03/15,2,5,0,3,9,9,West Brom,2,5,E0,1.33,5,1.3,3,H,0,9,0,N Swarbrick,Man City,2014
1811,2,11,A,2,0,0,4,16,21/03/15,4,7,0,1,1.65,9,Arsenal,0,3.7,E0,6,3.75,4.9,7,A,0,1.6,3,M Jones,Newcastle,2014
1812,0,10,H,0,0,0,3,20,21/03/15,5,7,0,2,7,10,Burnley,1,4,E0,1.44,4,1.45,15,H,0,8,3,R East,Southampton,2014
1813,2,15,A,2,4,0,4,17,21/03/15,4,14,0,1,3.4,8,Crystal Palace,1,3.2,E0,2.15,3.2,2.1,12,A,3,3.5,3,A Marriner,Stoke,2014
1814,1,8,H,3,1,0,4,10,21/03/15,4,9,0,4,6.1,4,Leicester,2,4,E0,1.6,4,1.5,14,H,2,5.5,5,M Dean,Tottenham,2014
1815,0,14,H,0,1,0,4,15,21/03/15,4,11,0,1,4.2,6,Sunderland,0,3.5,E0,1.85,3.5,1.8,7,D,0,4.33,3,L Mason,West Ham,2014
1816,2,14,A,3,2,0,8,19,22/03/15,6,11,0,2,1.45,6,Chelsea,2,4,E0,7,4,7,8,D,0,1.5,3,M Oliver,Hull,2014
1817,1,14,A,2,2,0,1,7,22/03/15,3,17,1,1,3.2,2,Man United,0,3.2,E0,2.1,3.25,2.2,6,A,2,3.5,4,M Atkinson,Liverpool,2014
1818,1,11,A,2,1,0,1,14,22/03/15,3,12,0,1,2.2,1,Everton,0,3.3,E0,3.3,3.3,3.1,8,A,2,2.2,3,J Moss,QPR,2014
1819,0,7,H,1,0,1,10,16,04/04/15,5,9,0,4,3.8,6,Liverpool,3,3.45,E0,1.83,3.4,1.9,13,H,1,4.5,2,A Taylor,Arsenal,2014
1820,1,5,H,1,6,0,10,19,04/04/15,0,22,0,2,10,9,Stoke,1,5.1,E0,1.29,5,1.28,7,D,1,12,2,J Moss,Chelsea,2014
1821,0,12,H,0,1,0,1,11,04/04/15,10,17,0,1,2.65,4,Southampton,1,3.3,E0,2.6,3.1,2.5,11,H,0,2.8,2,L Mason,Everton,2014
1822,1,12,H,1,3,0,7,20,04/04/15,6,10,0,2,3.1,7,West Ham,1,3.3,E0,2.25,3.4,2.2,14,D,0,3.1,7,M Clattenburg,Leicester,2014
1823,0,15,H,1,1,0,7,19,04/04/15,2,12,0,3,9,10,Aston Villa,1,5,E0,1.33,4.8,1.3,4,H,0,10,2,R East,Man United,2014
1824,0,11,H,1,5,1,4,9,04/04/15,7,14,0,3,3.8,4,Hull,2,3.45,E0,2,3.1,1.9,10,H,1,4.2,1,A Marriner,Swansea,2014
1825,3,6,A,4,3,0,6,21,04/04/15,4,15,1,1,4.5,2,QPR,0,3.5,E0,1.73,3.3,1.75,12,A,2,5.5,7,L Probert,West Brom,2014
1826,0,9,D,0,0,0,4,15,05/04/15,3,5,0,0,2.1,5,Tottenham,0,3.4,E0,3.5,3.1,3.2,12,D,2,2.2,2,M Atkinson,Burnley,2014
1827,0,14,H,0,2,0,4,16,05/04/15,4,18,0,1,3.1,8,Newcastle,1,3.3,E0,2.62,3.1,2.2,10,H,5,2.8,1,M Dean,Sunderland,2014
1828,0,11,H,1,1,0,3,5,06/04/15,13,11,0,2,1.6,4,Man City,1,3.9,E0,4.8,3.8,5,22,H,2,1.7,4,M Oliver,Crystal Palace,2014
1829,1,8,D,3,4,0,7,21,07/04/15,3,12,0,3,3.6,7,QPR,2,3.3,E0,2.15,3.2,2,11,H,0,3.6,5,C Pawson,Aston Villa,2014
1830,1,15,A,1,0,0,4,8,11/04/15,6,7,0,0,1.45,1,Arsenal,0,4,E0,6,3.8,7,17,A,2,1.57,5,M Dean,Burnley,2014
1831,0,7,H,0,0,0,4,9,11/04/15,5,11,0,2,5.6,2,Hull,0,3.9,E0,1.53,3.75,1.55,15,D,2,7,4,K Friend,Southampton,2014
1832,0,15,A,4,2,0,3,12,11/04/15,4,17,0,1,2.85,8,Crystal Palace,0,3.2,E0,2.7,3.1,2.4,14,D,2,2.7,5,A Taylor,Sunderland,2014
1833,1,18,D,1,3,0,3,11,11/04/15,6,12,0,1,2.75,3,Everton,0,3.3,E0,2.5,3.2,2.4,12,A,3,2.9,8,M Oliver,Swansea,2014
1834,1,11,A,1,2,1,3,14,11/04/15,6,12,0,0,5.6,9,Aston Villa,0,3.9,E0,1.62,3.8,1.55,10,A,3,5.5,3,L Probert,Tottenham,2014
1835,1,15,A,3,2,0,5,8,11/04/15,6,15,0,2,3.6,4,Leicester,2,3.3,E0,2.3,3.2,2,12,H,2,3.2,4,M Atkinson,West Brom,2014
1836,0,17,D,1,1,0,3,11,11/04/15,10,13,0,1,3.4,4,Stoke,1,3.2,E0,2.3,3.2,2.1,18,H,3,3.2,2,R East,West Ham,2014
1837,1,9,H,2,3,0,7,11,12/04/15,5,16,0,4,2.75,1,Man City,2,3.3,E0,2.7,3.1,2.4,10,H,0,2.7,3,M Clattenburg,Man United,2014
1838,0,12,A,1,1,0,4,15,12/04/15,6,6,0,0,1.4,5,Chelsea,0,4.4,E0,8,4.5,7.3,9,D,2,1.4,1,A Marriner,QPR,2014
1839,0,8,H,0,0,1,6,14,13/04/15,6,17,0,2,7,6,Newcastle,1,4,E0,1.4,4.5,1.45,10,H,2,8,3,L Mason,Liverpool,2014
1840,0,13,H,0,1,0,2,7,18/04/15,7,11,0,1,3.6,3,Man United,1,3.3,E0,2,3.3,2,15,H,7,4.33,2,M Dean,Chelsea,2014
1841,1,17,A,2,3,0,4,19,18/04/15,6,17,0,0,3.8,7,West Brom,0,3.45,E0,1.95,3.25,1.9,8,A,3,4.2,4,J Moss,Crystal Palace,2014
1842,0,12,H,0,2,1,8,21,18/04/15,6,15,0,1,4.3,5,Burnley,1,3.8,E0,1.75,3.5,1.7,10,H,1,5,1,M Jones,Everton,2014
1843,0,6,H,0,2,0,6,18,18/04/15,3,5,0,2,3.3,6,Swansea,1,3.3,E0,2.15,3.3,2.1,10,H,0,3.4,6,L Probert,Leicester,2014
1844,1,17,H,1,4,0,2,15,18/04/15,5,17,0,2,2.3,2,Southampton,0,3.3,E0,3.2,3.2,2.9,12,A,0,2.3,6,M Clattenburg,Stoke,2014
1845,0,10,H,0,2,0,3,18,19/04/15,3,6,0,2,10,6,West Ham,2,5.2,E0,1.29,5,1.27,9,H,2,12,3,A Taylor,Man City,2014
1846,1,11,A,3,4,0,5,11,19/04/15,3,13,0,1,2.5,4,Tottenham,0,3.3,E0,3.2,3.1,2.65,14,A,2,2.38,8,K Friend,Newcastle,2014
1847,0,16,A,1,0,0,4,12,25/04/15,4,16,0,0,2.65,6,Leicester,0,3.3,E0,2.62,2.88,2.5,8,D,3,3,4,A Taylor,Burnley,2014
1848,0,15,A,2,0,0,3,7,25/04/15,9,10,0,0,3.6,0,Hull,0,3.3,E0,2.1,3,2,21,D,0,4,7,M Clattenburg,Crystal Palace,2014
1849,0,13,H,2,2,0,4,11,25/04/15,6,11,0,3,10,7,Aston Villa,1,5.2,E0,1.29,4.8,1.27,13,H,1,12,4,M Dean,Man City,2014
1850,1,14,A,3,2,0,4,12,25/04/15,6,9,0,2,2.85,9,Swansea,1,3.2,E0,2.5,2.9,2.4,11,D,1,3.1,6,N Swarbrick,Newcastle,2014
1851,0,14,D,0,0,0,7,18,25/04/15,6,12,0,0,3.1,6,West Ham,0,3.3,E0,2.4,3,2.2,8,D,1,3.2,2,M Jones,QPR,2014
1852,1,9,D,2,3,0,4,13,25/04/15,3,10,0,2,3.2,8,Tottenham,1,3.3,E0,2.1,3.1,2.15,7,D,1,3.75,2,J Moss,Southampton,2014
1853,1,14,D,1,3,0,8,23,25/04/15,8,15,0,1,3.8,9,Sunderland,1,3.45,E0,1.95,3,1.9,15,D,2,4.5,5,M Atkinson,Stoke,2014
1854,0,12,D,0,0,0,4,10,25/04/15,4,11,0,0,1.85,2,Liverpool,0,3.45,E0,4,3.1,4,22,D,1,2.05,5,R East,West Brom,2014
1855,0,17,D,0,3,0,1,12,26/04/15,2,11,0,0,2.75,6,Chelsea,0,3.2,E0,2.4,3.1,2.5,7,D,4,3.1,3,M Oliver,Arsenal,2014
1856,0,6,H,0,2,0,7,9,26/04/15,7,10,0,3,2,7,Man United,2,3.3,E0,3.6,3,3.6,17,H,0,2.2,4,A Marriner,Everton,2014
1857,0,10,H,0,0,0,4,7,28/04/15,7,10,0,1,2,7,Liverpool,1,3.3,E0,3.8,3.4,3.6,12,H,2,2,9,L Probert,Hull,2014
1858,0,10,A,3,0,0,2,8,29/04/15,6,1,0,1,1.7,2,Chelsea,1,3.6,E0,4.8,3.8,4.7,11,H,1,1.7,4,M Clattenburg,Leicester,2014
1859,0,13,H,2,1,0,4,11,02/05/15,3,12,0,3,2.65,5,Everton,2,3.3,E0,2.7,3.1,2.5,9,H,2,2.7,5,M Clattenburg,Aston Villa,2014
1860,0,10,H,0,2,2,7,19,02/05/15,7,13,0,3,3.7,10,Newcastle,2,3.35,E0,1.91,3.5,1.95,12,H,1,4,3,M Dean,Leicester,2014
1861,0,9,H,1,3,1,8,25,02/05/15,6,18,0,2,6.4,9,QPR,1,4.6,E0,1.4,4.5,1.42,10,H,2,8,2,M Atkinson,Liverpool,2014
1862,0,10,A,1,0,0,9,26,02/05/15,3,11,0,0,9,9,West Brom,0,5,E0,1.36,4.5,1.3,6,D,1,9,3,A Taylor,Man United,2014
1863,1,12,H,1,2,1,6,12,02/05/15,1,13,0,2,2.1,1,Southampton,1,3.3,E0,4,3.1,3.3,11,D,2,2.05,2,M Jones,Sunderland,2014
1864,0,9,H,0,2,1,4,16,02/05/15,2,18,0,2,3.2,6,Stoke,0,3.2,E0,2.3,3.2,2.2,9,D,1,3.2,3,C Pawson,Swansea,2014
1865,0,11,H,0,2,1,7,29,02/05/15,3,7,0,1,3.1,13,Burnley,1,3.3,E0,2.25,3.2,2.2,8,H,3,3.3,2,J Moss,West Ham,2014
1866,0,12,H,0,2,0,7,17,03/05/15,6,13,0,1,7.6,3,Crystal Palace,1,4.8,E0,1.36,4.8,1.35,8,H,2,8.5,1,K Friend,Chelsea,2014
1867,1,6,A,1,4,0,5,21,03/05/15,7,11,0,0,2,8,Man City,0,3.3,E0,3.75,3.3,3.6,15,A,3,2.05,4,A Marriner,Tottenham,2014
1868,3,8,A,3,0,0,1,8,04/05/15,5,11,0,1,,0,Arsenal,0,,E0,5.5,3.5,,22,A,2,1.7,9,L Mason,Hull,2014
1869,0,6,H,0,1,0,5,15,09/05/15,6,13,0,1,3.8,2,West Ham,1,3.45,E0,1.95,3.4,1.9,5,H,1,4,1,L Mason,Aston Villa,2014
1870,1,13,A,2,1,0,4,13,09/05/15,6,12,0,1,1.7,7,Man United,0,3.7,E0,4.33,3.3,4.5,13,A,0,1.91,4,M Oliver,Crystal Palace,2014
1871,0,10,A,2,3,0,4,22,09/05/15,1,9,0,0,3.55,15,Sunderland,0,3.4,E0,1.73,3.5,1.95,10,D,2,5,3,L Probert,Everton,2014
1872,0,16,A,1,1,0,3,21,09/05/15,3,12,0,0,4.2,9,Burnley,0,3.5,E0,1.95,3.4,1.8,8,D,1,4,2,M Atkinson,Hull,2014
1873,0,12,H,0,0,0,3,10,09/05/15,8,10,0,2,2.75,4,Southampton,2,3.3,E0,2.62,3.1,2.4,10,H,1,2.8,3,R East,Leicester,2014
1874,1,11,D,1,3,0,5,15,09/05/15,2,17,0,1,2.9,7,West Brom,1,3.3,E0,2.62,3.1,2.3,8,D,2,2.8,3,C Foy,Newcastle,2014
1875,0,14,H,0,0,1,9,17,09/05/15,8,12,0,3,2.5,6,Tottenham,2,3.3,E0,2.8,3.1,2.65,9,H,0,2.62,3,M Clattenburg,Stoke,2014
1876,1,13,D,1,3,0,3,8,10/05/15,4,11,0,1,3.3,6,Liverpool,1,3.3,E0,2.1,3.2,2.1,15,D,4,3.75,4,A Marriner,Chelsea,2014
1877,0,12,H,0,1,0,11,23,10/05/15,4,7,0,6,13,7,QPR,2,5.8,E0,1.22,6,1.2,9,H,0,13,3,M Dean,Man City,2014
1878,0,7,A,1,1,0,9,23,11/05/15,1,10,0,0,7.6,6,Swansea,0,4.8,E0,1.33,5,1.35,8,D,0,9,3,K Friend,Arsenal,2014
1879,0,14,D,0,2,0,4,11,16/05/15,6,9,0,0,2.4,7,Stoke,0,3.3,E0,2.7,3.1,2.75,11,D,1,2.7,3,M Oliver,Burnley,2014
1880,1,10,A,3,3,0,3,18,16/05/15,5,17,0,1,7,4,Crystal Palace,1,4,E0,1.44,4.2,1.45,15,D,2,8,6,J Moss,Liverpool,2014
1881,1,12,H,1,0,0,4,8,16/05/15,12,8,0,2,2.3,3,Newcastle,0,3.3,E0,2.9,3.25,2.9,22,A,2,2.4,8,L Probert,QPR,2014
1882,1,19,H,1,1,0,11,18,16/05/15,3,7,0,6,4.5,6,Aston Villa,5,3.5,E0,1.75,3.5,1.75,9,H,1,5,4,R Madley,Southampton,2014
1883,0,14,D,0,1,0,3,13,16/05/15,9,15,0,0,2.85,8,Leicester,0,3.2,E0,2.7,3.1,2.4,11,D,4,2.7,0,M Atkinson,Sunderland,2014
1884,0,10,H,0,1,0,3,10,16/05/15,8,6,0,2,4.3,6,Hull,0,3.8,E0,1.8,3.3,1.7,14,D,3,5,2,A Taylor,Tottenham,2014
1885,0,12,A,2,4,0,3,13,16/05/15,8,14,0,1,2.6,7,Everton,0,3.2,E0,2.8,3.1,2.6,21,D,1,2.6,5,K Friend,West Ham,2014
1886,0,16,D,1,0,0,4,12,17/05/15,5,8,0,1,2.9,5,Arsenal,1,3.3,E0,2.5,3.1,2.3,5,H,1,3,3,M Dean,Man United,2014
1887,2,8,A,4,3,0,9,13,17/05/15,7,8,0,2,1.75,11,Man City,1,3.5,E0,5,3.5,4.5,22,A,0,1.75,11,M Clattenburg,Swansea,2014
1888,0,12,H,0,2,1,5,9,18/05/15,4,11,0,3,2,3,Chelsea,1,3.3,E0,4,3.1,3.6,12,H,3,2.05,3,M Jones,West Brom,2014
1889,0,6,D,0,0,0,8,28,20/05/15,2,8,0,0,8.2,5,Sunderland,0,4.6,E0,1.29,5.5,1.35,7,D,1,11,3,A Taylor,Arsenal,2014
1890,0,6,H,1,0,0,13,24,24/05/15,3,7,0,4,7.3,7,West Brom,4,4.4,E0,1.4,4.5,1.4,14,H,1,8,5,R Madley,Arsenal,2014
1891,1,9,A,1,2,0,5,16,24/05/15,2,6,0,0,3.6,7,Burnley,0,3.3,E0,2.1,3.3,2,6,A,1,3.5,3,M Jones,Aston Villa,2014
1892,1,12,H,1,1,0,8,24,24/05/15,3,8,0,3,9,11,Sunderland,1,5,E0,1.36,4.5,1.3,17,D,2,10,9,L Mason,Chelsea,2014
1893,0,22,H,0,0,0,7,13,24/05/15,3,13,0,1,3.3,7,Swansea,0,3.3,E0,2.3,3.2,2.1,5,D,3,3.2,2,C Pawson,Crystal Palace,2014
1894,1,12,A,1,2,0,1,9,24/05/15,5,8,0,0,2.75,3,Tottenham,0,3.3,E0,2.4,3.1,2.4,16,A,1,3.1,3,J Moss,Everton,2014
1895,0,12,D,0,2,1,6,16,24/05/15,1,15,0,0,2.2,8,Man United,0,3.6,E0,3.2,3.3,2.85,7,D,2,2.25,1,L Probert,Hull,2014
1896,0,7,H,1,0,0,7,22,24/05/15,6,6,0,5,5,5,QPR,2,3.9,E0,1.62,3.8,1.6,18,H,0,5.5,2,M Oliver,Leicester,2014
1897,0,13,H,0,1,0,6,15,24/05/15,4,8,0,2,6.1,8,Southampton,1,4,E0,1.57,3.8,1.5,13,H,1,6,4,C Foy,Man City,2014
1898,0,9,H,0,1,0,4,17,24/05/15,3,9,0,2,4.6,2,West Ham,0,3.8,E0,1.8,3.5,1.65,4,D,2,4.5,1,M Atkinson,Newcastle,2014
1899,0,13,H,1,2,0,9,15,24/05/15,9,4,0,6,2.1,3,Liverpool,5,3.3,E0,3.3,3.3,3.3,13,H,4,2.2,4,A Taylor,Stoke,2014
1901,0,11,H,1,1,0,6,8,10/08/2018,5,8,0,2,7,2,Leicester,1,3.8,E0,1.57,3.8,1.55,13,H,2,6,4,A Marriner,Man United,2018
1902,0,11,H,0,1,0,4,12,11/08/2018,4,9,0,2,4.1,7,Cardiff,1,3.5,E0,1.91,3.5,1.9,10,H,1,4,1,K Friend,Bournemouth,2018
1903,1,9,A,2,2,0,6,15,11/08/2018,5,11,0,0,2.95,5,Crystal Palace,0,3.3,E0,2.45,3.3,2.4,10,A,1,2.8,9,M Dean,Fulham,2018
1904,2,9,A,3,1,0,1,6,11/08/2018,5,8,0,0,1.55,2,Chelsea,0,4,E0,5.8,3.9,6.2,13,A,2,1.57,4,C Kavanagh,Huddersfield,2018
1905,2,11,A,2,2,0,2,15,11/08/2018,5,12,0,1,2.05,3,Tottenham,1,3.35,E0,3.8,3.2,3.7,15,A,2,2.05,5,M Atkinson,Newcastle,2018
1906,0,10,H,0,2,0,5,19,11/08/2018,2,16,0,2,3.4,8,Brighton,1,3.3,E0,2.38,3,2.2,6,H,2,3.3,0,J Moss,Watford,2018
1907,1,8,D,2,1,1,4,11,11/08/2018,6,7,0,2,3.2,3,Everton,1,3.35,E0,2.3,3.2,2.25,6,D,0,3.2,5,C Pawson,Wolves,2018
1908,1,11,A,2,2,0,3,9,12/08/2018,9,14,0,0,2,2,Man City,0,3.6,E0,3.8,3.8,3.6,17,A,2,1.91,8,M Oliver,Arsenal,2018
1909,0,14,H,0,2,0,8,18,12/08/2018,4,9,0,4,11,5,West Ham,2,6.1,E0,1.25,5.5,1.25,5,H,1,12,2,A Taylor,Liverpool,2018
1910,0,10,D,0,1,0,3,18,12/08/2018,5,9,0,0,4.5,8,Burnley,0,3.6,E0,1.83,3.25,1.8,16,D,0,4.8,6,G Scott,Southampton,2018
1911,0,14,D,0,2,1,1,12,18/08/2018,5,16,0,0,2.5,5,Newcastle,0,3.2,E0,3.1,3,2.9,12,D,2,2.45,6,C Pawson,Cardiff,2018
1912,2,12,H,2,2,0,11,24,18/08/2018,1,9,0,3,4.2,5,Arsenal,2,3.8,E0,1.83,3.75,1.8,15,D,0,4,6,M Atkinson,Chelsea,2018
1913,0,8,H,1,5,0,7,13,18/08/2018,5,20,0,2,4,2,Southampton,2,3.25,E0,1.91,3.4,2,15,H,0,4,4,L Mason,Everton,2018
1914,0,10,H,0,1,0,2,6,18/08/2018,9,8,1,2,3.6,1,Wolves,2,3.3,E0,2.05,3.4,2.1,11,H,2,3.6,3,M Dean,Leicester,2018
1915,0,9,H,1,0,0,11,25,18/08/2018,2,5,0,3,10,5,Fulham,1,6,E0,1.25,6,1.27,10,H,0,10,3,A Taylor,Tottenham,2018
1916,0,14,A,2,2,0,5,11,18/08/2018,4,10,0,1,3.55,6,Bournemouth,1,3.55,E0,2.05,3.6,2.05,12,H,6,3.4,5,S Attwell,West Ham,2018
1917,1,16,H,2,1,0,3,6,19/08/2018,5,13,0,3,1.75,3,Man United,3,3.5,E0,4.8,3.6,5.1,9,H,1,1.75,3,K Friend,Brighton,2018
1918,1,8,A,3,2,0,3,8,19/08/2018,2,19,0,1,3.15,5,Watford,1,3.1,E0,2.38,3,2.4,9,D,1,3.25,6,P Tierney,Burnley,2018
1919,1,9,H,1,2,0,14,32,19/08/2018,3,4,0,6,29,10,Huddersfield,3,10.5,E0,1.06,12,1.08,5,H,0,29,1,A Marriner,Man City,2018
1920,1,6,A,2,1,0,2,8,20/08/2018,7,13,1,0,1.45,6,Liverpool,0,4.5,E0,6,4.75,7,16,A,1,1.44,6,M Oliver,Crystal Palace,2018
1921,1,16,H,1,3,0,10,17,25/08/2018,2,13,0,3,7.5,10,West Ham,1,4.8,E0,1.36,5,1.4,13,D,1,7.5,5,G Scott,Arsenal,2018
1922,0,12,D,2,3,1,5,17,25/08/2018,2,10,1,2,2.65,6,Everton,0,3.5,E0,2.5,3.6,2.55,11,D,0,2.62,3,L Probert,Bournemouth,2018
1923,0,8,D,0,1,0,1,5,25/08/2018,7,10,1,0,3.55,7,Cardiff,0,3,E0,2.3,3.1,2.3,14,D,0,3.3,4,M Oliver,Huddersfield,2018
1924,0,8,H,0,1,0,8,22,25/08/2018,5,14,0,1,18,8,Brighton,1,7.9,E0,1.15,8,1.15,6,H,1,17,2,C Kavanagh,Liverpool,2018
1925,0,13,A,2,1,0,5,11,25/08/2018,3,11,1,1,3.1,10,Leicester,0,3.15,E0,2.3,3.3,2.4,8,D,1,3.1,5,J Moss,Southampton,2018
1926,0,13,D,1,2,0,2,11,25/08/2018,9,8,0,1,1.25,5,Man City,0,6.1,E0,10,6,11,18,D,1,1.25,6,M Atkinson,Wolves,2018
1927,2,11,H,2,1,0,12,25,26/08/2018,4,8,0,4,4.1,6,Burnley,3,3.35,E0,2,3.25,1.97,12,H,2,3.9,2,D Coote,Fulham,2018
1928,0,16,A,2,1,0,2,6,26/08/2018,5,8,0,1,1.7,4,Chelsea,0,3.75,E0,5,3.75,5,15,D,3,1.67,3,P Tierney,Newcastle,2018
1929,0,14,H,1,2,0,5,13,26/08/2018,3,11,0,2,2.95,6,Crystal Palace,0,3.2,E0,2.5,3.3,2.5,9,D,4,2.8,3,A Taylor,Watford,2018
1930,0,11,A,3,4,0,5,23,27/08/2018,2,16,0,0,2.75,5,Tottenham,0,3.25,E0,2.5,3.4,2.6,9,D,2,2.7,5,C Pawson,Man United,2018
1931,1,12,D,2,3,0,5,15,01/09/2018,1,14,0,2,3.4,7,Fulham,0,3.3,E0,2.25,3.3,2.2,10,A,3,3.2,5,L Probert,Brighton,2018
1932,0,10,H,0,2,0,6,24,01/09/2018,6,7,0,2,10,7,Bournemouth,0,6,E0,1.29,5.8,1.27,8,D,2,8.5,1,L Mason,Chelsea,2018
1933,0,11,A,2,1,0,6,20,01/09/2018,4,12,0,0,3.8,7,Southampton,0,3.4,E0,1.95,3.4,2,19,D,1,4,6,M Atkinson,Crystal Palace,2018
1934,1,13,D,1,3,0,1,11,01/09/2018,3,14,0,1,5.5,4,Huddersfield,1,4,E0,1.5,3.8,1.6,9,D,3,7.5,6,S Attwell,Everton,2018
1935,2,9,A,2,2,0,5,12,01/09/2018,4,12,0,1,1.5,4,Liverpool,0,4.3,E0,7,4.75,6.5,10,A,3,1.4,4,P Tierney,Leicester,2018
1936,1,5,H,1,0,0,8,24,01/09/2018,0,13,0,2,20,4,Newcastle,1,9,E0,1.08,10,1.12,3,D,0,26,2,K Friend,Man City,2018
1937,0,10,A,1,1,0,3,13,01/09/2018,4,11,0,0,2.85,4,Wolves,0,3.3,E0,2.4,3.5,2.5,15,D,2,2.8,6,C Kavanagh,West Ham,2018
1938,2,7,A,2,3,1,2,9,02/09/2018,5,13,0,0,1.7,2,Man United,0,3.75,E0,5.5,3.7,5,21,A,2,1.65,9,J Moss,Burnley,2018
1939,1,12,A,3,4,0,3,14,02/09/2018,9,14,0,2,1.65,3,Arsenal,1,3.8,E0,5.5,4.33,5.4,17,D,3,1.53,11,A Taylor,Cardiff,2018
1940,0,9,H,1,1,0,3,7,02/09/2018,10,8,0,2,1.65,3,Tottenham,0,3.9,E0,5,4.2,5.3,11,D,2,1.62,2,A Marriner,Watford,2018
1941,0,13,H,2,2,1,5,10,15/09/2018,6,15,0,4,3,4,Leicester,3,3.4,E0,2.38,3.4,2.35,14,H,3,2.9,8,C Pawson,Bournemouth,2018
1942,1,8,H,1,0,0,7,18,15/09/2018,4,10,0,4,15,5,Cardiff,2,6.8,E0,1.17,7,1.2,6,H,0,15,2,J Moss,Chelsea,2018
1943,1,11,A,1,2,0,2,15,15/09/2018,3,17,0,0,2.4,5,Crystal Palace,0,3.1,E0,3.1,3,3.2,7,A,1,2.45,2,L Mason,Huddersfield,2018
1944,0,7,H,0,0,0,9,28,15/09/2018,4,7,0,3,20,10,Fulham,2,9,E0,1.12,9,1.12,9,H,0,17,3,S Attwell,Man City,2018
1945,0,13,A,2,0,0,2,4,15/09/2018,4,11,0,1,1.9,10,Arsenal,0,3.6,E0,3.75,3.7,4,12,D,0,1.91,2,L Probert,Newcastle,2018
1946,1,17,A,2,0,0,3,11,15/09/2018,4,16,0,1,2.3,5,Liverpool,0,3.6,E0,2.88,3.5,2.95,17,A,0,2.3,10,M Oliver,Tottenham,2018
1947,2,9,A,2,1,1,5,14,15/09/2018,8,11,0,1,1.9,6,Man United,0,3.55,E0,4,3.4,4.15,9,A,2,1.91,6,M Dean,Watford,2018
1948,2,15,A,3,5,0,4,16,16/09/2018,2,12,0,1,3.6,4,West Ham,1,3.55,E0,2.05,3.6,2,9,A,2,3.4,4,M Atkinson,Everton,2018
1949,0,10,H,0,4,0,7,30,16/09/2018,2,9,0,1,4.7,8,Burnley,0,3.5,E0,1.75,3.5,1.8,7,D,2,4.8,2,A Marriner,Wolves,2018
1950,0,10,D,2,3,0,5,14,17/09/2018,4,13,0,2,3.75,1,Brighton,1,3.25,E0,2.05,3.2,2.1,12,H,2,3.75,4,A Taylor,Southampton,2018
1951,1,15,A,2,1,0,4,8,22/09/2018,7,9,0,1,1.7,5,Tottenham,0,3.9,E0,4.4,3.8,4.8,16,A,2,1.75,7,C Kavanagh,Brighton,2018
1952,0,17,H,0,0,0,5,12,22/09/2018,8,6,0,4,2.55,3,Bournemouth,2,3.3,E0,2.8,3.3,2.8,19,H,2,2.5,5,A Taylor,Burnley,2018
1953,3,6,A,5,1,0,2,2,22/09/2018,9,4,0,0,1.2,1,Man City,0,6.5,E0,17,7.5,15,21,A,1,1.15,10,M Oliver,Cardiff,2018
1954,0,8,D,0,1,0,4,16,22/09/2018,5,11,0,0,3.8,9,Newcastle,0,3.4,E0,2.1,3.3,2,6,D,1,3.5,3,A Marriner,Crystal Palace,2018
1955,1,11,D,1,1,0,3,15,22/09/2018,8,9,0,1,2.7,8,Watford,0,3.3,E0,2.5,3.4,2.6,11,A,2,2.75,6,M Atkinson,Fulham,2018
1956,1,10,H,1,1,0,8,18,22/09/2018,1,16,0,3,5,3,Huddersfield,1,3.9,E0,1.6,3.75,1.67,9,D,2,6,2,D Coote,Leicester,2018
1957,0,7,H,0,2,0,4,12,22/09/2018,4,10,0,3,15,5,Southampton,3,6.5,E0,1.18,7,1.2,7,H,0,15,1,P Tierney,Liverpool,2018
1958,0,5,D,1,1,0,6,15,22/09/2018,4,17,0,1,6.2,5,Wolves,1,4,E0,1.57,4.2,1.55,11,H,1,5.5,8,K Friend,Man United,2018
1959,0,17,H,0,1,0,5,9,23/09/2018,9,12,0,2,7,5,Everton,0,4.5,E0,1.47,4.75,1.45,9,D,2,6,6,J Moss,Arsenal,2018
